Customer,Arrival Time,Start Service,End Service,Wait Time,Service Time,Time in System
1,1.7460,1.7460,2.6881,0.0000,0.9421,0.9421
2,4.5636,4.5636,4.8403,0.0000,0.2767,0.2767
3,5.7105,5.7105,6.2752,0.0000,0.5646,0.5646
4,5.9863,6.2752,6.4654,0.2888,0.1902,0.4790
5,6.8284,6.8284,7.2045,0.0000,0.3761,0.3761
6,7.2316,7.2316,7.5638,0.0000,0.3322,0.3322
7,10.9367,10.9367,11.4863,0.0000,0.5496,0.5496
8,11.6625,11.6625,11.7715,0.0000,0.1090,0.1090
9,14.9186,14.9186,17.1870,0.0000,2.2684,2.2684
10,15.2076,17.1870,18.3418,1.9794,1.1548,3.1342
11,16.2645,18.3418,21.1157,2.0772,2.7739,4.8511
12,17.3771,21.1157,21.3385,3.7386,0.2228,3.9614
13,20.7475,21.3385,21.7600,0.5909,0.4215,1.0124
14,20.8838,21.7600,21.8770,0.8761,0.1171,0.9932
15,23.2372,23.2372,24.4905,0.0000,1.2533,1.2533
16,24.1803,24.4905,24.9854,0.3102,0.4949,0.8052
17,24.5603,24.9854,25.7194,0.4251,0.7340,1.1591
18,25.9364,25.9364,27.3470,0.0000,1.4106,1.4106
19,26.7801,27.3470,27.5925,0.5669,0.2455,0.8124
20,31.6897,31.6897,31.7558,0.0000,0.0661,0.0661
21,35.9003,35.9003,37.6800,0.0000,1.7797,1.7797
22,37.0329,37.6800,37.8736,0.6470,0.1936,0.8407
23,37.9082,37.9082,38.2869,0.0000,0.3787,0.3787
24,38.1601,38.2869,38.6374,0.1268,0.3504,0.4773
25,38.6675,38.6675,39.2270,0.0000,0.5595,0.5595
26,39.2671,39.2671,39.9417,0.0000,0.6746,0.6746
27,41.4204,41.4204,42.8472,0.0000,1.4268,1.4268
28,42.6619,42.8472,43.0391,0.1853,0.1919,0.3772
29,44.0456,44.0456,44.4641,0.0000,0.4185,0.4185
30,44.6407,44.6407,45.8213,0.0000,1.1807,1.1807
31,47.0308,47.0308,47.5240,0.0000,0.4932,0.4932
32,47.0625,47.5240,48.9551,0.4615,1.4311,1.8926
33,47.7108,48.9551,49.6561,1.2443,0.7010,1.9453
34,48.0824,49.6561,49.7821,1.5737,0.1260,1.6997
35,48.6940,49.7821,51.0721,1.0881,1.2900,2.3781
36,50.1371,51.0721,51.7501,0.9350,0.6779,1.6129
37,50.3609,51.7501,52.2595,1.3891,0.5094,1.8986
38,51.1724,52.2595,53.1953,1.0871,0.9358,2.0229
39,53.7409,53.7409,54.2963,0.0000,0.5555,0.5555
40,54.1550,54.2963,54.4443,0.1413,0.1480,0.2893
41,54.3512,54.4443,54.6851,0.0931,0.2408,0.3339
42,56.7080,56.7080,58.3016,0.0000,1.5936,1.5936
43,58.9597,58.9597,59.1759,0.0000,0.2162,0.2162
